v:X0014A,v:X0014B,v:X0014C,v:X0013A,v:X0013B,v:X0013C,c:X0013A:BUS8A,c:X0013B:BUS8B,c:X0013C:BUS8C,c:BUS9A:X0014A,c:BUS9B:X0014B,c:BUS9C:X0014C
368736.62,17393.291,-386129.94,382098.22,-7398.3115,-374699.9,-255.26913,317.00006,-61.73093,86.48651,-353.47675,266.99023
359694.84,33805.246,-393500.1,373835.1,9073.258,-382908.34,-263.3282,312.56393,-49.23573,99.92662,-357.15414,257.22754
350141.97,50169.24,-400311.22,365040.84,25531.957,-390572.78,-271.01324,307.68384,-36.670597,113.22504,-360.32446,247.09943
340091.53,66462.03,-406553.56,355727.9,41954.43,-397682.34,-278.31357,302.36697,-24.053408,126.36282,-362.98315,236.62032
329557.84,82660.49,-412218.34,345909.56,58317.35,-404226.9,-285.21893,296.62103,-11.402108,139.32132,-365.1264,225.80507
318555.8,98741.62,-417297.44,335599.7,74597.484,-410197.2,-291.71967,290.4543,1.2653427,152.08209,-366.7511,214.66902
307101.1,114682.56,-421783.66,324812.94,90771.72,-415584.66,-297.80646,283.87546,13.930988,164.62698,-367.85495,203.22798
295209.94,130460.695,-425670.62,313564.62,106817.11,-420381.75,-303.4706,276.89374,26.576876,176.93817,-368.43634,191.49817
282899.22,146053.61,-428952.84,301870.7,122710.875,-424581.56,-308.70404,269.51898,39.185078,188.99815,-368.49442,179.49625
270186.47,161439.12,-431625.6,289747.72,138430.44,-428178.16,-313.4992,261.76147,51.737724,200.78981,-368.02905,167.23926
257089.72,176595.42,-433685.16,277212.97,153953.47,-431166.44,-317.84906,253.63203,64.21703,212.29636,-367.04095,154.7446
243627.56,191500.97,-435128.53,264284.22,169257.89,-433542.1,-321.74725,245.14194,76.605316,223.50148,-365.53146,142.02998
229819.11,206134.56,-435953.7,250979.8,184322.0,-435301.8,-325.18814,236.30316,88.884964,234.38925,-363.50272,129.11348
215684.0,220475.44,-436159.44,237318.66,199124.36,-436443.03,-328.1668,227.12827,101.03853,244.94418,-360.95758,116.01339
201242.3,234503.22,-435745.5,223320.2,213643.92,-436964.12,-330.679,217.63026,113.04873,255.15129,-357.8996,102.74831
186514.5,248197.95,-434712.47,209004.34,227860.03,-436864.38,-332.72113,207.82265,124.898476,264.99606,-354.33307,89.33703
