v:X0014A,v:X0014B,v:X0014C,v:X0013A,v:X0013B,v:X0013C,c:X0013A:BUS8A,c:X0013B:BUS8B,c:X0013C:BUS8C,c:BUS9A:X0014A,c:BUS9B:X0014B,c:BUS9C:X0014C
368730.72,17398.168,-386128.88,382069.7,-7397.7866,-374671.9,-254.98827,316.58102,-61.59275,86.56792,-353.36502,266.79712
359688.88,33809.97,-393498.84,373807.2,9072.551,-382879.75,-263.0354,312.1483,-49.112877,100.00134,-357.03653,257.0352
350135.9,50173.797,-400309.72,365013.6,25530.016,-390543.6,-270.70898,307.27222,-36.563248,113.29296,-360.20114,246.90817
340085.44,66466.42,-406551.84,355701.38,41951.242,-397652.62,-277.99826,301.96,-23.961725,126.42387,-362.85425,236.43039
329551.66,82664.7,-412216.38,345883.78,58312.914,-404196.7,-284.8931,296.2193,-11.326216,139.3754,-364.99216,225.61676
318549.6,98745.65,-417295.25,335574.72,74591.805,-410166.5,-291.38367,290.05832,1.3253492,152.1291,-366.6117,214.48259
307094.84,114686.41,-421781.25,324788.78,90764.83,-415553.62,-297.4608,283.48578,13.975023,164.66689,-367.71057,203.04369
295203.66,130464.35,-425668.0,313541.3,106809.016,-420350.3,-303.11584,276.51096,26.604868,176.9709,-368.28717,191.31627
282892.94,146057.05,-428950.0,301848.25,122701.59,-424549.84,-308.34064,269.14365,39.196995,189.02368,-368.3407,179.31703
270180.2,161442.38,-431622.56,289726.2,138419.98,-428146.2,-313.1276,261.394,51.73357,200.80807,-367.871,167.06294
257083.42,176598.47,-433681.88,277192.34,153941.89,-431134.22,-317.46976,253.27293,64.196815,212.30736,-366.8788,154.57146
243621.28,191503.78,-435125.06,264264.53,169245.22,-433509.75,-321.3608,244.79176,76.56905,223.50517,-365.36542,141.86026
229812.86,206137.17,-435950.03,250961.1,184308.22,-435269.3,-324.7951,235.96239,88.83271,234.38565,-363.33304,128.9474
215677.77,220477.83,-436155.6,237300.95,199109.5,-436410.47,-327.76767,226.7973,100.97037,244.93329,-360.7845,115.851204
201236.1,234505.39,-435741.47,223303.52,213628.0,-436931.53,-330.27432,217.30957,112.96475,255.13312,-357.72336,102.59024
186508.34,248199.9,-434708.25,208988.7,227843.08,-436831.78,-332.31152,207.51276,124.79878,264.9706,-354.15393,89.18331
171515.45,261541.92,-433057.38,194376.81,241734.52,-436111.34,-333.8765,197.42084,136.45564,274.4318,-350.08124,75.64943
156278.69,274512.5,-430791.2,179488.64,255282.6,-434771.22,-334.96707,187.04832,147.91875,283.5032,-345.511,62.007782
140819.7,287093.16,-427912.84,164345.31,268468.03,-432813.34,-335.58188,176.41008,159.17181,292.1719,-340.44962,48.277733
125160.49,299266.0,-424426.5,148968.36,281272.12,-430240.47,-335.72006,165.52122,170.19885,300.4255,-334.90427,34.47875
109323.266,311013.78,-420337.03,133379.6,293676.66,-427056.25,-335.38147,154.3972,180.98425,308.25232,-328.88275,20.630434
93330.56,322319.7,-415650.25,117601.164,305664.06,-423265.22,-334.5665,143.0538,191.51271,315.64108,-322.39352,6.7524314
77205.086,333167.72,-410372.8,101655.484,317217.22,-418872.7,-333.2763,131.507,201.76932,322.5813,-315.44577,-7.1355286
60969.78,343542.4,-404512.2,85565.2,328319.75,-413884.97,-331.51254,119.77301,211.73953,329.063,-308.0493,-21.013731
44647.715,353428.94,-398076.66,69353.18,338955.88,-408309.06,-329.27753,107.86832,221.40921,335.07693,-300.2145,-34.86244
28262.098,362813.28,-391075.38,53042.47,349110.44,-402152.9,-326.57437,95.809746,230.76462,340.61447,-291.9525,-48.661972
11836.23,371682.03,-383518.28,36656.254,358768.97,-395425.22,-323.4067,83.61429,239.79242,345.66772,-283.27502,-62.392696
-4606.527,380022.6,-375416.06,20217.844,367917.75,-388135.6,-319.779,71.2992,248.47977,350.2294,-274.1943,-76.03508
-21042.79,387823.06,-366780.28,3750.6084,376543.72,-380294.3,-315.6963,58.88204,256.81424,354.29303,-264.72333,-89.56969
-37449.176,395072.3,-357623.16,-12722.023,384634.56,-371912.56,-311.16446,46.380543,264.78394,357.85275,-254.8755,-102.97726
-53802.36,401760.03,-347957.66,-29176.621,392178.8,-363002.2,-306.19,33.812572,272.37744,360.90363,-244.66495,-116.23867
-70079.07,407876.66,-337797.6,-45589.79,399165.7,-353575.88,-300.78003,21.19614,279.5839,363.44122,-234.10619,-129.33502
-86256.17,413413.53,-327157.34,-61938.19,405585.25,-343647.03,-294.9424,8.549381,286.39304,365.462,-223.21437,-142.24763
-102310.65,418362.72,-316052.06,-78198.58,411428.34,-333229.78,-288.68552,-4.1095924,292.7951,366.96317,-212.00505,-154.9581
-118219.68,422717.2,-304497.5,-94347.836,416686.7,-322338.84,-282.01828,-16.762724,298.781,367.94257,-200.49428,-167.44829
-133960.66,426470.78,-292510.12,-110363.016,421352.8,-310989.78,-274.95026,-29.39195,304.3422,368.3989,-188.69849,-179.70042
-149511.17,429618.16,-280106.97,-126221.35,425420.03,-299198.7,-267.49152,-41.97928,309.4708,368.33154,-176.63454,-191.69702
-164849.14,432154.8,-267305.66,-141900.3,428882.62,-286982.34,-259.6526,-54.50689,314.1595,367.74063,-164.3196,-203.42102
-179952.77,434077.2,-254124.4,-157377.58,431735.62,-274358.06,-251.44456,-66.95706,318.4016,366.62698,-151.77127,-214.85573
-194800.58,435382.53,-240581.97,-172631.19,433975.0,-261343.83,-242.87904,-79.312126,322.19116,364.99228,-139.0074,-225.98488
-209371.47,436069.06,-226697.58,-187639.42,435597.53,-247958.12,-233.96814,-91.5546,325.52274,362.8388,-126.04615,-236.79265
-223644.75,436135.78,-212491.02,-202380.94,436600.9,-234219.97,-224.72441,-103.66715,328.39157,360.16968,-112.90597,-247.26369
-237600.12,435582.6,-197982.47,-216834.78,436983.7,-220148.9,-215.16103,-115.63255,330.79358,356.98868,-99.60557,-257.38312
-251217.77,434410.34,-183192.56,-230980.4,436745.34,-205764.92,-205.29161,-127.43371,332.7253,353.30038,-86.16385,-267.13654
-264478.34,432620.7,-168142.34,-244797.67,435886.16,-191088.48,-195.13026,-139.05376,334.18402,349.11005,-72.59995,-276.5101
-277363.0,430216.2,-152853.2,-258266.95,434407.38,-176140.44,-184.69151,-150.47609,335.1676,344.42368,-58.933163,-285.4905
-289853.44,427200.3,-137346.88,-271369.1,432311.12,-160942.03,-173.99036,-161.68427,335.67462,339.24792,-45.18292,-294.065
-301931.9,423577.3,-121645.414,-284085.5,429600.38,-145514.9,-163.04216,-172.6622,335.70435,333.59018,-31.368744,-302.22144
-313581.25,419352.4,-105771.13,-296398.06,426279.03,-129880.97,-151.8626,-183.3942,335.25677,327.45853,-17.510283,-309.94824
-324784.97,414531.56,-89746.6,-308289.34,422351.8,-114062.46,-140.4676,-193.86496,334.33258,320.86163,-3.62718,-317.23447
-335527.1,409121.7,-73594.6,-319742.44,417824.3,-98081.87,-128.87347,-204.05956,332.93304,313.80893,10.260832,-324.06976
